Model,Scores,Average
tfidf_lemmatized,"2,3,2,1,2",2.0
tfidf_stemmed,"2,2,1,1,2",1.6
word2vec_lemmatized_cbow_win2_dim100,"5,4,4,3,4",4.0
word2vec_lemmatized_cbow_win5_dim100,"4,4,3,3,2",3.2
word2vec_lemmatized_cbow_win2_dim200,"4,3,3,2,2",2.8
word2vec_lemmatized_skipgram_win2_dim100,"3,3,2,2,1",2.2
word2vec_lemmatized_skipgram_win5_dim100,"3,2,2,1,1",1.8
word2vec_lemmatized_cbow_win10_dim100,"3,2,2,1,1",1.8
word2vec_lemmatized_skipgram_win10_dim100,"3,2,2,1,1",1.8
word2vec_lemmatized_cbow_win2_dim300,"3,2,2,1,1",1.8
word2vec_lemmatized_skipgram_win2_dim300,"3,2,2,1,1",1.8
word2vec_stemmed_cbow_win2_dim100,"3,2,2,1,1",1.8
word2vec_stemmed_cbow_win5_dim100,"3,2,2,1,1",1.8
word2vec_stemmed_cbow_win2_dim200,"3,2,2,1,1",1.8
word2vec_stemmed_skipgram_win2_dim100,"3,2,2,1,1",1.8
word2vec_stemmed_skipgram_win5_dim100,"3,2,2,1,1",1.8
word2vec_stemmed_cbow_win10_dim100,"3,2,2,1,1",1.8
word2vec_stemmed_skipgram_win10_dim100,"3,2,2,1,1",1.8
